披露日,イベント名,簡略イベント名1,簡略イベント名2,会場,都道府県,曲順,曲名,曲名2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
2017/5/28,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 石川公演,5thLIVE TOUR Serendipity Parade!!! 石川公演,,石川県産業展示館・4号館,石川,18,Love∞Destiny,,花守ゆみり,金子有希,青木瑠璃子,津田美波,牧野由依,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/28,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 石川公演,5thLIVE TOUR Serendipity Parade!!! 石川公演,,石川県産業展示館・4号館,石川,19,Nocturne,,洲崎綾,長島光那,飯田友子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/28,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 石川公演,5thLIVE TOUR Serendipity Parade!!! 石川公演,,石川県産業展示館・4号館,石川,20,Sweet Witches' Night ～6人目はだぁれ～,,花守ゆみり,高橋花林,種﨑敦美,大坪由佳,髙野麻美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/28,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 石川公演,5thLIVE TOUR Serendipity Parade!!! 石川公演,,石川県産業展示館・4号館,石川,21,生存本能ヴァルキュリア,,金子有希,原優子,洲崎綾,春瀬なつみ,長島光那,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/28,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 石川公演,5thLIVE TOUR Serendipity Parade!!! 石川公演,,石川県産業展示館・4号館,石川,22,夕映えプレゼント,,安野希世乃,花守ゆみり,金子有希,原優子,高橋花林,種﨑敦美,洲崎綾,春瀬なつみ,青木瑠璃子,大坪由佳,長島光那,津田美波,飯田友子,牧野由依,髙野麻美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/28,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 石川公演,5thLIVE TOUR Serendipity Parade!!! 石川公演,,石川県産業展示館・4号館,石川,23,M@GIC☆,,安野希世乃,花守ゆみり,金子有希,原優子,高橋花林,種﨑敦美,洲崎綾,春瀬なつみ,青木瑠璃子,大坪由佳,長島光那,津田美波,飯田友子,牧野由依,髙野麻美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/5/28,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 石川公演,5thLIVE TOUR Serendipity Parade!!! 石川公演,,石川県産業展示館・4号館,石川,24,お願い！シンデレラ,,安野希世乃,花守ゆみり,金子有希,原優子,高橋花林,種﨑敦美,洲崎綾,春瀬なつみ,青木瑠璃子,大坪由佳,長島光那,津田美波,飯田友子,牧野由依,髙野麻美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,1,Shine!!,,ルゥティン,佳村はるか,今井麻夏,桜咲千依,松田颯水,松嵜麗,新田ひより,千菅春香,大橋彩香,大空直美,都丸ちよ,内田真礼,立花理香,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,2,はにかみdays,,大橋彩香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,3,にょわにょわーるど☆,,松嵜麗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,4,cherry＊merry＊cherry,,大空直美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,5,Flip Flop,,今井麻夏,松嵜麗,新田ひより,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,6,モーレツ★世直しギルティ！,,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,7,NUDIE★,,佳村はるか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,8,薄紅,,立花理香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,9,青の一番星,,ルゥティン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,10,キミのそばでずっと,,佳村はるか,大橋彩香,内田真礼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,11,桜の頃,,ルゥティン,新田ひより,立花理香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,12,エチュードは1曲だけ,,ルゥティン,今井麻夏,桜咲千依,千菅春香,内田真礼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,13,アタシポンコツアンドロイド,,新田ひより,大橋彩香,大空直美,都丸ちよ,立花理香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,14,Orange Sapphire,,佳村はるか,松田颯水,松嵜麗,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,15,BEYOND THE STARLIGHT,,ルゥティン,佳村はるか,今井麻夏,桜咲千依,松田颯水,松嵜麗,新田ひより,千菅春香,大橋彩香,大空直美,都丸ちよ,内田真礼,立花理香,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,16,華蕾夢ミル狂詩曲 ～魂ノ導～,,桜咲千依,内田真礼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,17,Bloody Festa,,桜咲千依,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,18,PANDEMIC ALONE,,松田颯水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,19,Lunatic Show,,桜咲千依,松田颯水,千菅春香,立花理香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,20,Wonder goes on!!,,ルゥティン,千菅春香,都丸ちよ,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,21,サマカニ！！,,佳村はるか,今井麻夏,大空直美,都丸ちよ,鈴木絵理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,22,夢色ハーモニー,,ルゥティン,佳村はるか,今井麻夏,桜咲千依,松田颯水,松嵜麗,新田ひより,千菅春香,大橋彩香,大空直美,都丸ちよ,内田真礼,立花理香,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,23,EVERMORE,,ルゥティン,佳村はるか,今井麻夏,桜咲千依,松田颯水,松嵜麗,新田ひより,千菅春香,大橋彩香,大空直美,都丸ちよ,内田真礼,立花理香,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/9,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,24,お願い！シンデレラ,,ルゥティン,佳村はるか,今井麻夏,桜咲千依,松田颯水,松嵜麗,新田ひより,千菅春香,大橋彩香,大空直美,都丸ちよ,内田真礼,立花理香,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,1,Shine!!,,ルゥティン,佳村はるか,今井麻夏,桜咲千依,松田颯水,松嵜麗,新田ひより,千菅春香,大橋彩香,大空直美,都丸ちよ,内田真礼,立花理香,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,2,はにかみdays,,大橋彩香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,3,にょわにょわーるど☆,,松嵜麗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,4,cherry＊merry＊cherry,,大空直美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,5,Flip Flop,,今井麻夏,松嵜麗,新田ひより,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,6,モーレツ★世直しギルティ！,,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,7,キミのそばでずっと,,佳村はるか,大橋彩香,内田真礼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,8,桜の頃,,ルゥティン,新田ひより,立花理香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,9,青の一番星,,ルゥティン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,10,薄紅,,立花理香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,11,NUDIE★,,佳村はるか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,12,エチュードは1曲だけ,,ルゥティン,今井麻夏,桜咲千依,千菅春香,内田真礼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,13,アタシポンコツアンドロイド,,新田ひより,大橋彩香,大空直美,都丸ちよ,立花理香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,14,Orange Sapphire,,佳村はるか,松田颯水,松嵜麗,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,15,BEYOND THE STARLIGHT,,ルゥティン,佳村はるか,今井麻夏,桜咲千依,松田颯水,松嵜麗,新田ひより,千菅春香,大橋彩香,大空直美,都丸ちよ,内田真礼,立花理香,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,16,華蕾夢ミル狂詩曲 ～魂ノ導～,,桜咲千依,内田真礼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,17,Bloody Festa,,桜咲千依,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,18,PANDEMIC ALONE,,松田颯水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,19,Lunatic Show,,桜咲千依,松田颯水,千菅春香,立花理香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,20,Wonder goes on!!,,ルゥティン,千菅春香,都丸ちよ,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,21,サマカニ！！,,佳村はるか,今井麻夏,大空直美,都丸ちよ,鈴木絵理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,22,夢色ハーモニー,,ルゥティン,佳村はるか,今井麻夏,桜咲千依,松田颯水,松嵜麗,新田ひより,千菅春香,大橋彩香,大空直美,都丸ちよ,内田真礼,立花理香,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,23,EVERMORE,,ルゥティン,佳村はるか,今井麻夏,桜咲千依,松田颯水,松嵜麗,新田ひより,千菅春香,大橋彩香,大空直美,都丸ちよ,内田真礼,立花理香,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/10,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 大阪公演,5thLIVE TOUR Serendipity Parade!!! 大阪公演,,大阪城ホール,大阪,24,お願い！シンデレラ,,ルゥティン,佳村はるか,今井麻夏,桜咲千依,松田颯水,松嵜麗,新田ひより,千菅春香,大橋彩香,大空直美,都丸ちよ,内田真礼,立花理香,鈴木絵理,和氣あず未,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,1,Yes! Party Time!!,,安野希世乃,嘉山未紗,原優子,高森奈津美,黒沢ともよ,春瀬なつみ,青木志貴,青木瑠璃子,村中知,中島由貴,長島光那,津田美波,牧野由依,藍原ことみ,髙野麻美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,2,Romantic Now,,黒沢ともよ,春瀬なつみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,3,き・ま・ぐ・れ☆Cafe au lait!,,髙野麻美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,4,ニャンと☆スペクタクル,,高森奈津美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,5,空と風と恋のワルツ,,津田美波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,6,Heart Voice,,長島光那,牧野由依,藍原ことみ,髙野麻美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,7,追い風Running,,中島由貴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,8,秘密のトワレ,,藍原ことみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,9,心もよう,,嘉山未紗,村中知,中島由貴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,10,shabon song,,黒沢ともよ,長島光那,津田美波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,11,Jet to the Future,,安野希世乃,青木瑠璃子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,12,エチュードは1曲だけ,,嘉山未紗,青木志貴,青木瑠璃子,村中知,長島光那,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,13,パステルピンクな恋,,高森奈津美,中島由貴,津田美波,牧野由依,藍原ことみ,髙野麻美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017/6/24,THE IDOLM@STER CINDERELLA GIRLS 5thLIVE TOUR Serendipity Parade!!! 静岡公演,5thLIVE TOUR Serendipity Parade!!! 静岡公演,,エコパアリーナ,静岡,14,絶対特権主張しますっ！,,安野希世乃,原優子,黒沢ともよ,春瀬なつみ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
