披露日,イベント名,簡略イベント名1,簡略イベント名2,会場,都道府県,曲順,曲名,曲名2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,21,ススメ☆オトメ ～jewel parade～,,佳村はるか,原紗友里,五十嵐裕美,高森奈津美,黒沢ともよ,山本希望,洲崎綾,松嵜麗,青木瑠璃子,早見沙織,大橋彩香,大坪由佳,津田美波,内田真礼,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,22,お願い！シンデレラ,,佳村はるか,原紗友里,五十嵐裕美,高森奈津美,黒沢ともよ,山本希望,洲崎綾,松嵜麗,青木瑠璃子,早見沙織,大橋彩香,大坪由佳,津田美波,内田真礼,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,1,お願い！シンデレラ,,佳村はるか,原紗友里,五十嵐裕美,高森奈津美,黒沢ともよ,山本希望,洲崎綾,松嵜麗,青木瑠璃子,早見沙織,大橋彩香,大坪由佳,津田美波,内田真礼,福原綾香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,2,ミツボシ☆☆★,,原紗友里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,3,DOKIDOKIリズム,,山本希望,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,4,TOKIMEKIエスカレート,,佳村はるか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,5,ましゅまろ☆キッス,,松嵜麗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,6,Romantic Now,,黒沢ともよ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,7,Orange Sapphire,,佳村はるか,原紗友里,黒沢ともよ,山本希望,松嵜麗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014/4/6,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,1stLIVE WONDERFUL M@GIC!!,day2,舞浜アンフィシアター,千葉,8,アタシポンコツアンドロイド,,五十嵐裕美,高森奈津美,大橋彩香,大坪由佳,津田美波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
